run_name,old_auc,new_auc,d_auc,old_ap,new_ap,d_ap,n_videos,n_frames_old,n_frames_new,n_skipped
ucf_clip_only_giant_s42,0.8309036442606238,0.8236236449139904,-0.00727999934663337,0.2520065537532159,0.23111291649906782,-0.020893637254148084,254,1010560,1097050,0
ucf_clip_only_s42,0.8168504995168436,0.811182229671173,-0.005668269845670593,0.22339879551449485,0.21192085906001315,-0.011477936454481696,254,1010560,1097050,0
ucf_clip_only_siglip2_s42,0.7911433083144678,0.7831566169444825,-0.00798669136998531,0.19620785896731197,0.1817738166388471,-0.014434042328464874,254,1010560,1097050,0
ucf_clip_only_so400m_s42,0.8140841844739842,0.8092916848061718,-0.004792499667812478,0.2069805194504311,0.19996921859619926,-0.00701130085423185,254,1010560,1097050,0
ucf_gated_fusion_2person_s42,0.8165185559995953,0.8111727069512238,-0.005345849048371543,0.22010237461279508,0.21111099360972757,-0.008991381003067511,254,1010560,1097050,0
ucf_gated_fusion_clip_mean_s42,0.817769193296233,0.8107869257957537,-0.006982267500479256,0.2341735277471697,0.2196207932120879,-0.014552734535081796,254,1010560,1097050,0
ucf_gated_fusion_giant_2person_s42,0.8348029893655852,0.8273113285887413,-0.007491660776843823,0.24473756041505668,0.2302758754342955,-0.01446168498076117,254,1010560,1097050,0
ucf_gated_fusion_giant_clip_mean_s42,0.8362580328580105,0.8298224536801904,-0.006435579177820117,0.2716600007562429,0.2553513419593028,-0.0163086587969401,254,1010560,1097050,0
ucf_gated_fusion_giant_s123,0.8365129646219833,0.8292306466647288,-0.007282317957254536,0.25852236756628943,0.24379604160458704,-0.014726325961702397,254,1010560,1097050,0
ucf_gated_fusion_giant_s2024,0.8296118846166028,0.822181738742243,-0.007430145874359861,0.22160081152338026,0.2107157950713252,-0.010885016452055057,254,1010560,1097050,0
ucf_gated_fusion_giant_s42,0.8322664504618176,0.8249043114503092,-0.007362139011508395,0.29216185875135187,0.27371241896418574,-0.018449439787166122,254,1010560,1097050,0
ucf_gated_fusion_s123,0.8168352561190187,0.811087684152272,-0.005747571966746801,0.22715324603446502,0.215401020163739,-0.011752225870726024,254,1010560,1097050,0
ucf_gated_fusion_s2024,0.8199582238072933,0.8139594359930082,-0.005998787814285089,0.2352566916819399,0.2235076263920652,-0.01174906528987471,254,1010560,1097050,0
ucf_gated_fusion_s42,0.8226512598094086,0.8166866512158107,-0.00596460859359782,0.23146360864003762,0.21826175514266916,-0.013201853497368465,254,1010560,1097050,0
ucf_gated_fusion_siglip2_2person_s42,0.7948117163888805,0.7872311578621525,-0.0075805585267280096,0.19503597204482587,0.18385309629721297,-0.011182875747612897,254,1010560,1097050,0
ucf_gated_fusion_siglip2_clip_mean_s42,0.7999900870515722,0.7935170166333727,-0.006473070418199445,0.2478399002304934,0.22953317523060934,-0.01830672499988406,254,1010560,1097050,0
ucf_gated_fusion_siglip2_s123,0.8002637002380698,0.790428451958574,-0.009835248279495779,0.22596263688342053,0.2093358211382847,-0.01662681574513583,254,1010560,1097050,0
ucf_gated_fusion_siglip2_s2024,0.7965568130768224,0.7889362166417588,-0.00762059643506352,0.20114976763983158,0.18831844000054732,-0.012831327639284268,254,1010560,1097050,0
ucf_gated_fusion_siglip2_s42,0.796115647533332,0.7903203809122225,-0.005795266621109518,0.20177063178134225,0.19267835767455305,-0.0090922741067892,254,1010560,1097050,0
ucf_gated_fusion_so400m_2person_s42,0.8196968178409637,0.8132668205702394,-0.0064299972707243525,0.21304702194173614,0.20324413520835527,-0.009802886733380867,254,1010560,1097050,0
ucf_gated_fusion_so400m_clip_mean_s42,0.824493665991256,0.8184009506734402,-0.0060927153178157445,0.2197967610553893,0.21202851209205156,-0.007768248963337748,254,1010560,1097050,0
ucf_gated_fusion_so400m_s123,0.8205847390668064,0.8137302969042035,-0.006854442162602892,0.22495430538295655,0.21424503555294283,-0.010709269830013718,254,1010560,1097050,0
ucf_gated_fusion_so400m_s2024,0.8146237489633626,0.8093164481348274,-0.005307300828535255,0.20512823707802388,0.1976969860962521,-0.007431250981771775,254,1010560,1097050,0
ucf_gated_fusion_so400m_s42,0.821780573356736,0.815207003268438,-0.006573570088298064,0.20465795679758816,0.1970652270648237,-0.007592729732764453,254,1010560,1097050,0
ucf_late_fusion_giant_s42,0.8087660246199924,0.8076265336511285,-0.0011394909688638988,0.19641399624428676,0.19428820121197157,-0.002125795032315192,254,1010560,1097050,0
ucf_late_fusion_s42,0.7870943689503613,0.7858417217144255,-0.0012526472359358776,0.18735460486405964,0.1856086401158389,-0.0017459647482207241,254,1010560,1097050,0
ucf_late_fusion_siglip2_s42,0.7992542604664745,0.7945575283936435,-0.004696732072831056,0.20243056161281883,0.19644482224470888,-0.005985739368109949,254,1010560,1097050,0
ucf_late_fusion_so400m_s42,0.8026285343654022,0.8000975854362187,-0.0025309489291834852,0.1893586159413499,0.18672896947039772,-0.0026296464709521794,254,1010560,1097050,0
ucf_skeleton_only_s42,0.7179600946951935,0.7178903440872971,-6.975060789637944e-05,0.15266096981965882,0.1475691720716477,-0.005091797748011134,254,1010560,1097050,0
